,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
11,Cultural Studies,25,18,1,2,3,1,0,0,0.006309148264984227,0.00012445550715619165,7.812194836139214e-05,0.002857142857142857,0.0001092896174863388,0.0,0.0
12,Architecture,10,9,0,0,1,0,0,0,0.0031545741324921135,0.0,0.0,0.0009523809523809524,0.0,0.0,0.0
13,Communication,121,16,4,16,22,23,20,20,0.005608131791097091,0.0004978220286247666,0.0006249755868911371,0.02095238095238095,0.0025136612021857923,0.019286403085824494,0.008631851532153647
14,Ecology,1520,589,653,149,5,13,14,97,0.20644935155976166,0.08126944617299316,0.005820085152923714,0.004761904761904762,0.0014207650273224044,0.013500482160077145,0.041864479930945185
15,History,104,79,1,1,9,1,0,13,0.027690150718541886,0.00012445550715619165,3.906097418069607e-05,0.008571428571428572,0.0001092896174863388,0.0,0.0056107034958998705
16,Literature,16,11,0,0,0,0,1,4,0.00385559060637925,0.0,0.0,0.0,0.0,0.0009643201542912247,0.0017263703064307294
17,Health Care Sciences & Services,2309,22,41,538,72,1559,31,46,0.0077111812127585,0.005102675793403858,0.021014804109214483,0.06857142857142857,0.1703825136612022,0.029893924783027964,0.01985325852395339
18,History & Philosophy Of Science,55,36,0,3,4,9,0,3,0.012618296529968454,0.0,0.0001171829225420882,0.0038095238095238095,0.0009836065573770492,0.0,0.001294777729823047
19,Anthropology,249,97,13,42,15,17,6,59,0.03399929898352611,0.0016179215930304915,0.0016405609155892347,0.014285714285714285,0.0018579234972677596,0.0057859209257473485,0.025463962019853258
20,Archaeology,88,70,0,1,4,0,0,13,0.02453557658604977,0.0,3.906097418069607e-05,0.0038095238095238095,0.0,0.0,0.0056107034958998705
21,"Psychology, Multidisciplinary",237,14,7,43,8,116,8,41,0.004907115317209955,0.0008711885500933416,0.0016796218897699308,0.007619047619047619,0.0126775956284153,0.007714561234329798,0.017695295640914977
22,"Physics, Multidisciplinary",445,8,403,14,8,0,2,10,0.0028040658955485456,0.05015556938394524,0.000546853638529745,0.007619047619047619,0.0,0.0019286403085824494,0.0043159257660768235
23,Spectroscopy,117,73,14,27,1,0,0,2,0.025587101296880476,0.0017423771001866832,0.0010546463028787939,0.0009523809523809524,0.0,0.0,0.0008631851532153647
24,"Psychology, Biological",40,14,1,8,1,10,0,6,0.004907115317209955,0.00012445550715619165,0.00031248779344556854,0.0009523809523809524,0.001092896174863388,0.0,0.002589555459646094
25,Multidisciplinary Sciences,4556,203,909,2944,74,241,47,138,0.07115317209954435,0.11313005600497822,0.11499550798796922,0.07047619047619047,0.02633879781420765,0.04532304725168756,0.059559775571860166
26,Neurosciences,640,47,149,152,35,194,4,59,0.016473887136347704,0.018543870566272557,0.005937268075465802,0.03333333333333333,0.021202185792349726,0.003857280617164899,0.025463962019853258
27,"Psychology, Experimental",92,9,11,21,1,25,6,19,0.0031545741324921135,0.0013690105787181083,0.0008202804577946174,0.0009523809523809524,0.00273224043715847,0.0057859209257473485,0.008200258955545965
28,Evolutionary Biology,502,91,240,121,1,9,0,40,0.0318962495618647,0.029869321717486,0.004726377875864224,0.0009523809523809524,0.0009836065573770492,0.0,0.017263703064307294
29,Medical Informatics,262,5,14,93,2,144,2,2,0.0017525411847178409,0.0017423771001866832,0.0036326705988047343,0.0019047619047619048,0.015737704918032787,0.0019286403085824494,0.0008631851532153647
30,Environmental Sciences,1520,221,377,590,26,132,56,118,0.07746232036452856,0.04691972619788426,0.023045974766610678,0.024761904761904763,0.014426229508196721,0.05400192864030858,0.050927924039706515
31,Religion,33,20,1,1,5,1,0,5,0.0070101647388713636,0.00012445550715619165,3.906097418069607e-05,0.004761904761904762,0.0001092896174863388,0.0,0.0021579628830384117
32,Green & Sustainable Science & Technology,147,2,17,90,7,5,7,19,0.0007010164738871364,0.0021157436216552583,0.003515487676262646,0.006666666666666667,0.000546448087431694,0.006750241080038573,0.008200258955545965
33,Environmental Studies,398,36,100,98,21,37,29,77,0.012618296529968454,0.012445550715619166,0.0038279754697082146,0.02,0.004043715846994536,0.027965284474445518,0.03323262839879154
34,Law,120,11,0,1,22,62,7,17,0.00385559060637925,0.0,3.906097418069607e-05,0.02095238095238095,0.0067759562841530055,0.006750241080038573,0.0073370738023306
35,Linguistics,51,26,3,0,5,5,4,8,0.009113214160532773,0.000373366521468575,0.0,0.004761904761904762,0.000546448087431694,0.003857280617164899,0.0034527406128614588
36,Language & Linguistics,32,22,0,0,4,0,1,5,0.0077111812127585,0.0,0.0,0.0038095238095238095,0.0,0.0009643201542912247,0.0021579628830384117
37,Area Studies,137,42,0,16,43,1,8,27,0.014721345951629864,0.0,0.0006249755868911371,0.040952380952380955,0.0001092896174863388,0.007714561234329798,0.011652999568407424
38,Marine & Freshwater Biology,475,131,312,9,0,0,0,23,0.04591657903960743,0.038830118232731796,0.0003515487676262646,0.0,0.0,0.0,0.009926629261976695
39,Toxicology,111,6,10,63,1,22,5,4,0.002103049421661409,0.0012445550715619166,0.002460841373383852,0.0009523809523809524,0.0024043715846994535,0.0048216007714561235,0.0017263703064307294
40,Economics,880,30,18,414,51,167,91,109,0.010515247108307046,0.00224019912881145,0.016171243310808173,0.04857142857142857,0.01825136612021858,0.08775313404050145,0.04704359085023738
41,Asian Studies,19,17,0,2,0,0,0,0,0.005958640028040659,0.0,7.812194836139214e-05,0.0,0.0,0.0,0.0
42,"Humanities, Multidisciplinary",99,85,0,1,10,0,0,3,0.029793200140203296,0.0,3.906097418069607e-05,0.009523809523809525,0.0,0.0,0.001294777729823047
43,Statistics & Probability,207,28,31,113,10,19,3,3,0.00981423063441991,0.0038581207218419413,0.004413890082418655,0.009523809523809525,0.002076502732240437,0.0028929604628736743,0.001294777729823047
44,Ornithology,42,9,30,0,0,0,1,2,0.0031545741324921135,0.00373366521468575,0.0,0.0,0.0,0.0009643201542912247,0.0008631851532153647
45,"Public, Environmental & Occupational Health",6428,89,152,3216,86,2390,264,231,0.03119523308797757,0.018917237087741134,0.12562009296511856,0.08190476190476191,0.2612021857923497,0.25458052073288334,0.09969788519637462
46,Paleontology,41,13,22,1,2,0,0,3,0.004556607080266386,0.0027380211574362166,3.906097418069607e-05,0.0019047619047619048,0.0,0.0,0.001294777729823047
47,"Geosciences, Multidisciplinary",378,144,171,36,4,0,2,21,0.050473186119873815,0.021281891723708774,0.0014061950705050584,0.0038095238095238095,0.0,0.0019286403085824494,0.00906344410876133
48,"Mathematics, Interdisciplinary Applications",66,8,5,33,11,4,1,4,0.0028040658955485456,0.0006222775357809583,0.0012890121479629702,0.010476190476190476,0.0004371584699453552,0.0009643201542912247,0.0017263703064307294
49,Remote Sensing,112,39,20,47,0,1,1,4,0.013669821240799159,0.002489110143123833,0.001835865786492715,0.0,0.0001092896174863388,0.0009643201542912247,0.0017263703064307294
50,Geochemistry & Geophysics,230,32,181,7,0,0,0,10,0.011216263582194182,0.02252644679527069,0.0002734268192648725,0.0,0.0,0.0,0.0043159257660768235
51,"Engineering, Electrical & Electronic",265,25,83,94,6,9,19,29,0.008762705923589204,0.010329807093963908,0.00367173157298543,0.005714285714285714,0.0009836065573770492,0.01832208293153327,0.012516184721622789
52,Imaging Science & Photographic Technology,114,54,22,33,0,0,1,4,0.01892744479495268,0.0027380211574362166,0.0012890121479629702,0.0,0.0,0.0009643201542912247,0.0017263703064307294
53,Biodiversity Conservation,334,98,186,14,2,1,5,28,0.03434980722046968,0.02314872433105165,0.000546853638529745,0.0019047619047619048,0.0001092896174863388,0.0048216007714561235,0.012084592145015106
54,Forestry,136,65,26,7,2,2,2,32,0.02278303540133193,0.003235843186060983,0.0002734268192648725,0.0019047619047619048,0.0002185792349726776,0.0019286403085824494,0.013810962451445835
55,Industrial Relations & Labor,63,3,0,29,6,10,5,10,0.0010515247108307045,0.0,0.001132768251240186,0.005714285714285714,0.001092896174863388,0.0048216007714561235,0.0043159257660768235
56,"Chemistry, Applied",100,27,3,66,1,1,0,2,0.00946372239747634,0.000373366521468575,0.0025780242959259404,0.0009523809523809524,0.0001092896174863388,0.0,0.0008631851532153647
57,Optics,277,20,168,61,5,1,1,21,0.0070101647388713636,0.020908525202240198,0.00238271942502246,0.004761904761904762,0.0001092896174863388,0.0009643201542912247,0.00906344410876133
58,Pharmacology & Pharmacy,782,46,31,616,7,65,2,15,0.016123378899404135,0.0038581207218419413,0.024061560095308777,0.006666666666666667,0.007103825136612022,0.0019286403085824494,0.006473888649115235
59,Psychiatry,786,17,18,100,22,577,9,43,0.005958640028040659,0.00224019912881145,0.0039060974180696066,0.02095238095238095,0.06306010928961749,0.008678881388621022,0.01855848079413034
60,Clinical Neurology,399,8,21,82,45,226,1,16,0.0028040658955485456,0.0026135656502800247,0.0032029998828170775,0.04285714285714286,0.024699453551912567,0.0009643201542912247,0.0069054812257229176
61,Psychology,255,12,10,22,3,188,3,17,0.004206098843322818,0.0012445550715619166,0.0008593414319753135,0.002857142857142857,0.020546448087431696,0.0028929604628736743,0.0073370738023306
62,"Social Sciences, Biomedical",544,29,24,188,14,212,33,44,0.010164738871363477,0.0029869321717486,0.00734346314597086,0.013333333333333334,0.023169398907103827,0.03182256509161042,0.018990073370738023
63,"Materials Science, Multidisciplinary",839,56,514,194,11,8,2,54,0.01962846126883982,0.06397013067828251,0.007577828991055037,0.010476190476190476,0.0008743169398907104,0.0019286403085824494,0.02330599913681485
64,Physiology,133,4,20,40,10,51,0,8,0.0014020329477742728,0.002489110143123833,0.0015624389672278427,0.009523809523809525,0.005573770491803279,0.0,0.0034527406128614588
65,Demography,204,10,21,67,16,29,40,21,0.0035050823694356818,0.0026135656502800247,0.0026170852701066366,0.015238095238095238,0.003169398907103825,0.03857280617164899,0.00906344410876133
66,Ethnic Studies,80,8,0,5,5,29,2,31,0.0028040658955485456,0.0,0.00019530487090348034,0.004761904761904762,0.003169398907103825,0.0019286403085824494,0.013379369874838154
67,"Chemistry, Organic",181,5,45,119,3,0,0,9,0.0017525411847178409,0.005600497822028625,0.004648255927502832,0.002857142857142857,0.0,0.0,0.003884333189469141
68,Polymer Science,80,15,28,31,0,0,0,6,0.005257623554153523,0.0034847542003733664,0.0012108901996015782,0.0,0.0,0.0,0.002589555459646094
69,Development Studies,273,14,5,130,16,15,36,57,0.004907115317209955,0.0006222775357809583,0.005077926643490488,0.015238095238095238,0.001639344262295082,0.03471552555448409,0.024600776866637895
70,"Psychology, Clinical",259,4,9,27,8,168,8,35,0.0014020329477742728,0.001120099564405725,0.0010546463028787939,0.007619047619047619,0.018360655737704918,0.007714561234329798,0.015105740181268883
71,Family Studies,196,12,20,45,11,54,16,38,0.004206098843322818,0.002489110143123833,0.001757743838131323,0.010476190476190476,0.005901639344262295,0.015429122468659595,0.01640051791109193
72,Management,60,6,2,12,7,24,3,6,0.002103049421661409,0.0002489110143123833,0.0004687316901683528,0.006666666666666667,0.002622950819672131,0.0028929604628736743,0.002589555459646094
73,Art,41,39,0,0,0,0,1,1,0.013669821240799159,0.0,0.0,0.0,0.0,0.0009643201542912247,0.00043159257660768235
74,Political Science,196,41,1,6,55,31,28,34,0.014370837714686295,0.00012445550715619165,0.0002343658450841764,0.05238095238095238,0.0033879781420765027,0.02700096432015429,0.0146741476046612
75,"Literature, British Isles",2,2,0,0,0,0,0,0,0.0007010164738871364,0.0,0.0,0.0,0.0,0.0,0.0
76,"Computer Science, Theory & Methods",276,29,146,48,8,16,27,2,0.010164738871363477,0.018170504044803984,0.0018749267606734113,0.007619047619047619,0.0017486338797814208,0.026036644165863067,0.0008631851532153647
77,"Education, Scientific Disciplines",196,12,8,24,2,131,12,7,0.004206098843322818,0.0009956440572495332,0.0009374633803367056,0.0019047619047619048,0.014316939890710383,0.011571841851494697,0.0030211480362537764
78,Ergonomics,11,1,0,4,0,2,2,2,0.0003505082369435682,0.0,0.00015624389672278427,0.0,0.0002185792349726776,0.0019286403085824494,0.0008631851532153647
79,"Computer Science, Software Engineering",75,13,38,11,3,0,7,3,0.004556607080266386,0.0047293092719352834,0.00042967071598765675,0.002857142857142857,0.0,0.006750241080038573,0.001294777729823047
80,"Computer Science, Interdisciplinary Applications",246,34,20,111,6,55,15,5,0.011917280056081317,0.002489110143123833,0.004335768134057264,0.005714285714285714,0.006010928961748634,0.01446480231436837,0.0021579628830384117
81,"Computer Science, Artificial Intelligence",135,12,17,64,7,9,18,8,0.004206098843322818,0.0021157436216552583,0.0024999023475645483,0.006666666666666667,0.0009836065573770492,0.017357762777242044,0.0034527406128614588
82,Telecommunications,54,2,10,13,0,9,11,9,0.0007010164738871364,0.0012445550715619166,0.0005077926643490488,0.0,0.0009836065573770492,0.010607521697203472,0.003884333189469141
83,Nanoscience & Nanotechnology,478,9,195,222,7,4,0,41,0.0031545741324921135,0.024268823895457373,0.008671536268114528,0.006666666666666667,0.0004371584699453552,0.0,0.017695295640914977
84,Fisheries,128,9,106,5,0,0,1,7,0.0031545741324921135,0.013192283758556316,0.00019530487090348034,0.0,0.0,0.0009643201542912247,0.0030211480362537764
85,Music,9,9,0,0,0,0,0,0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0
86,Women's Studies,122,15,16,15,5,32,24,15,0.005257623554153523,0.0019912881144990664,0.000585914612710441,0.004761904761904762,0.0034972677595628415,0.023143683702989394,0.006473888649115235
87,Sociology,306,54,8,32,25,72,17,98,0.01892744479495268,0.0009956440572495332,0.0012499511737822742,0.023809523809523808,0.007868852459016393,0.01639344262295082,0.04229607250755287
88,Medieval & Renaissance Studies,6,6,0,0,0,0,0,0,0.002103049421661409,0.0,0.0,0.0,0.0,0.0,0.0
89,Gerontology,161,6,0,5,2,139,4,5,0.002103049421661409,0.0,0.00019530487090348034,0.0019047619047619048,0.015191256830601093,0.003857280617164899,0.0021579628830384117
90,Biochemistry & Molecular Biology,1458,28,334,927,24,74,0,71,0.00981423063441991,0.04156813939016801,0.036209523065505254,0.022857142857142857,0.008087431693989072,0.0,0.030643072939145446
91,"Chemistry, Medicinal",273,6,17,241,2,1,0,6,0.002103049421661409,0.0021157436216552583,0.009413694777547752,0.0019047619047619048,0.0001092896174863388,0.0,0.002589555459646094
92,Food Science & Technology,401,5,6,369,0,10,1,10,0.0017525411847178409,0.00074673304293715,0.014413499472676849,0.0,0.001092896174863388,0.0009643201542912247,0.0043159257660768235
93,Genetics & Heredity,1036,28,238,592,19,123,0,36,0.00981423063441991,0.029620410703173616,0.02312409671497207,0.018095238095238095,0.013442622950819673,0.0,0.015537332757876565
94,"Engineering, Chemical",131,12,9,89,0,0,7,14,0.004206098843322818,0.001120099564405725,0.0034764267020819498,0.0,0.0,0.006750241080038573,0.006042296072507553
95,"Materials Science, Textiles",7,6,0,1,0,0,0,0,0.002103049421661409,0.0,3.906097418069607e-05,0.0,0.0,0.0,0.0
96,Oceanography,375,62,298,0,0,0,0,15,0.021731510690501228,0.037087741132545114,0.0,0.0,0.0,0.0,0.006473888649115235
97,Zoology,220,47,111,28,3,5,3,23,0.016473887136347704,0.013814561294337275,0.00109370727705949,0.002857142857142857,0.000546448087431694,0.0028929604628736743,0.009926629261976695
98,"Engineering, Environmental",235,10,26,159,0,14,9,17,0.0035050823694356818,0.003235843186060983,0.006210694894730674,0.0,0.0015300546448087432,0.008678881388621022,0.0073370738023306
99,"Medicine, General & Internal",2657,10,45,1346,91,1076,60,29,0.0035050823694356818,0.005600497822028625,0.05257607124721691,0.08666666666666667,0.11759562841530055,0.05785920925747348,0.012516184721622789
100,Theater,4,4,0,0,0,0,0,0,0.0014020329477742728,0.0,0.0,0.0,0.0,0.0,0.0
101,Agronomy,693,20,3,657,4,1,0,8,0.0070101647388713636,0.000373366521468575,0.025663060036717315,0.0038095238095238095,0.0001092896174863388,0.0,0.0034527406128614588
102,Literary Reviews,1,1,0,0,0,0,0,0,0.0003505082369435682,0.0,0.0,0.0,0.0,0.0,0.0
103,Folklore,2,1,0,0,1,0,0,0,0.0003505082369435682,0.0,0.0,0.0009523809523809524,0.0,0.0,0.0
104,Regional & Urban Planning,77,8,2,14,5,9,5,34,0.0028040658955485456,0.0002489110143123833,0.000546853638529745,0.004761904761904762,0.0009836065573770492,0.0048216007714561235,0.0146741476046612
