,subject,total_freq,mellon_total_occ,packard_total_occ,gates_total_occ,osf_total_occ,rwj_total_occ,hewlett_total_occ,ford_total_occ,mellon_pct_of_pubs,packard_pct_of_pubs,gates_pct_of_pubs,osf_pct_of_pubs,rwj_pct_of_pubs,hewlett_pct_of_pubs,ford_pct_of_pubs
15,History,104,79,1,1,9,1,0,13,0.027690150718541886,0.00012445550715619165,3.906097418069607e-05,0.008571428571428572,0.0001092896174863388,0.0,0.0056107034958998705
16,Literature,27,21,0,0,0,0,1,5,0.007360672975814932,0.0,0.0,0.0,0.0,0.0009643201542912247,0.0021579628830384117
17,Health Care Sciences & Services,2579,27,41,636,79,1697,37,62,0.00946372239747634,0.005102675793403858,0.024842779578922697,0.07523809523809524,0.18546448087431694,0.03567984570877531,0.026758739749676307
18,History & Philosophy of Science,55,36,0,3,4,9,0,3,0.012618296529968454,0.0,0.0001171829225420882,0.0038095238095238095,0.0009836065573770492,0.0,0.001294777729823047
19,Anthropology,249,97,13,42,15,17,6,59,0.03399929898352611,0.0016179215930304915,0.0016405609155892347,0.014285714285714285,0.0018579234972677596,0.0057859209257473485,0.025463962019853258
20,Archaeology,88,70,0,1,4,0,0,13,0.02453557658604977,0.0,3.906097418069607e-05,0.0038095238095238095,0.0,0.0,0.0056107034958998705
21,Psychology,1157,52,77,236,38,541,47,166,0.018226428321065545,0.009583074051026758,0.009218389906644272,0.03619047619047619,0.05912568306010929,0.04532304725168756,0.07164436771687527
22,Physics,1603,39,1287,165,28,2,6,76,0.013669821240799159,0.16017423771001868,0.006445060739814851,0.02666666666666667,0.0002185792349726776,0.0057859209257473485,0.03280103582218386
23,Spectroscopy,117,73,14,27,1,0,0,2,0.025587101296880476,0.0017423771001866832,0.0010546463028787939,0.0009523809523809524,0.0,0.0,0.0008631851532153647
24,Science & Technology - Other Topics,5199,214,1138,3256,88,250,55,198,0.07500876270592359,0.1416303671437461,0.12718253193234638,0.0838095238095238,0.0273224043715847,0.05303760848601736,0.0854553301683211
25,Neurosciences & Neurology,936,52,163,218,74,357,5,67,0.018226428321065545,0.020286247666459242,0.008515292371391743,0.07047619047619047,0.03901639344262295,0.0048216007714561235,0.028916702632714716
26,Evolutionary Biology,502,91,240,121,1,9,0,40,0.0318962495618647,0.029869321717486,0.004726377875864224,0.0009523809523809524,0.0009836065573770492,0.0,0.017263703064307294
27,Medical Informatics,262,5,14,93,2,144,2,2,0.0017525411847178409,0.0017423771001866832,0.0036326705988047343,0.0019047619047619048,0.015737704918032787,0.0019286403085824494,0.0008631851532153647
28,Religion,33,20,1,1,5,1,0,5,0.0070101647388713636,0.00012445550715619165,3.906097418069607e-05,0.004761904761904762,0.0001092896174863388,0.0,0.0021579628830384117
29,Government & Law,310,52,1,7,73,93,35,49,0.018226428321065545,0.00012445550715619165,0.0002734268192648725,0.06952380952380953,0.010163934426229508,0.033751205400192864,0.021148036253776436
30,Linguistics,57,31,3,0,5,5,4,9,0.010865755345250614,0.000373366521468575,0.0,0.004761904761904762,0.000546448087431694,0.003857280617164899,0.003884333189469141
31,Area Studies,137,42,0,16,43,1,8,27,0.014721345951629864,0.0,0.0006249755868911371,0.040952380952380955,0.0001092896174863388,0.007714561234329798,0.011652999568407424
32,Marine & Freshwater Biology,528,142,342,16,0,0,0,28,0.04977216964598668,0.04256378344741755,0.0006249755868911371,0.0,0.0,0.0,0.012084592145015106
33,Toxicology,111,6,10,63,1,22,5,4,0.002103049421661409,0.0012445550715619166,0.002460841373383852,0.0009523809523809524,0.0024043715846994535,0.0048216007714561235,0.0017263703064307294
34,Business & Economics,1007,38,21,456,65,201,96,130,0.01331931300385559,0.0026135656502800247,0.017811804226397405,0.06190476190476191,0.021967213114754098,0.09257473481195758,0.05610703495899871
35,Asian Studies,19,17,0,2,0,0,0,0,0.005958640028040659,0.0,7.812194836139214e-05,0.0,0.0,0.0,0.0
36,Arts & Humanities - Other Topics,107,92,0,1,11,0,0,3,0.03224675779880827,0.0,3.906097418069607e-05,0.010476190476190476,0.0,0.0,0.001294777729823047
37,Mathematics,554,37,307,143,23,22,5,17,0.012968804766912022,0.03820784069695084,0.005585719307839537,0.021904761904761906,0.0024043715846994535,0.0048216007714561235,0.0073370738023306
38,Zoology,262,56,141,28,3,5,4,25,0.01962846126883982,0.017548226509023025,0.00109370727705949,0.002857142857142857,0.000546448087431694,0.003857280617164899,0.01078981441519206
39,"Public, Environmental & Occupational Health",6428,89,152,3216,86,2390,264,231,0.03119523308797757,0.018917237087741134,0.12562009296511856,0.08190476190476191,0.2612021857923497,0.25458052073288334,0.09969788519637462
40,Paleontology,41,13,22,1,2,0,0,3,0.004556607080266386,0.0027380211574362166,3.906097418069607e-05,0.0019047619047619048,0.0,0.0,0.001294777729823047
41,Geology,431,154,213,36,4,0,2,22,0.0539782684893095,0.026509023024268823,0.0014061950705050584,0.0038095238095238095,0.0,0.0019286403085824494,0.009495036685369012
42,Remote Sensing,112,39,20,47,0,1,1,4,0.013669821240799159,0.002489110143123833,0.001835865786492715,0.0,0.0001092896174863388,0.0009643201542912247,0.0017263703064307294
43,Geochemistry & Geophysics,230,32,181,7,0,0,0,10,0.011216263582194182,0.02252644679527069,0.0002734268192648725,0.0,0.0,0.0,0.0043159257660768235
44,Engineering,921,55,198,453,21,49,42,103,0.01927795303189625,0.02464219041692595,0.017694621303855317,0.02,0.0053551912568306015,0.040501446480231434,0.044454035390591284
45,Imaging Science & Photographic Technology,114,54,22,33,0,0,1,4,0.01892744479495268,0.0027380211574362166,0.0012890121479629702,0.0,0.0,0.0009643201542912247,0.0017263703064307294
46,Biodiversity & Conservation,334,98,186,14,2,1,5,28,0.03434980722046968,0.02314872433105165,0.000546853638529745,0.0019047619047619048,0.0001092896174863388,0.0048216007714561235,0.012084592145015106
47,Forestry,136,65,26,7,2,2,2,32,0.02278303540133193,0.003235843186060983,0.0002734268192648725,0.0019047619047619048,0.0002185792349726776,0.0019286403085824494,0.013810962451445835
48,Optics,277,20,168,61,5,1,1,21,0.0070101647388713636,0.020908525202240198,0.00238271942502246,0.004761904761904762,0.0001092896174863388,0.0009643201542912247,0.00906344410876133
49,Pharmacology & Pharmacy,988,48,47,798,9,66,2,18,0.016824395373291272,0.005849408836341008,0.031170657396195463,0.008571428571428572,0.007213114754098361,0.0019286403085824494,0.007768666378938282
50,Psychiatry,786,17,18,100,22,577,9,43,0.005958640028040659,0.00224019912881145,0.0039060974180696066,0.02095238095238095,0.06306010928961749,0.008678881388621022,0.01855848079413034
51,Biomedical Social Sciences,544,29,24,188,14,212,33,44,0.010164738871363477,0.0029869321717486,0.00734346314597086,0.013333333333333334,0.023169398907103827,0.03182256509161042,0.018990073370738023
52,Materials Science,966,65,543,257,12,12,2,75,0.02278303540133193,0.06757934038581208,0.010038670364438888,0.011428571428571429,0.0013114754098360656,0.0019286403085824494,0.032369443245576175
53,Physiology,133,4,20,40,10,51,0,8,0.0014020329477742728,0.002489110143123833,0.0015624389672278427,0.009523809523809525,0.005573770491803279,0.0,0.0034527406128614588
54,Demography,204,10,21,67,16,29,40,21,0.0035050823694356818,0.0026135656502800247,0.0026170852701066366,0.015238095238095238,0.003169398907103825,0.03857280617164899,0.00906344410876133
55,Ethnic Studies,80,8,0,5,5,29,2,31,0.0028040658955485456,0.0,0.00019530487090348034,0.004761904761904762,0.003169398907103825,0.0019286403085824494,0.013379369874838154
56,Polymer Science,80,15,28,31,0,0,0,6,0.005257623554153523,0.0034847542003733664,0.0012108901996015782,0.0,0.0,0.0,0.002589555459646094
57,Development Studies,273,14,5,130,16,15,36,57,0.004907115317209955,0.0006222775357809583,0.005077926643490488,0.015238095238095238,0.001639344262295082,0.03471552555448409,0.024600776866637895
58,Family Studies,196,12,20,45,11,54,16,38,0.004206098843322818,0.002489110143123833,0.001757743838131323,0.010476190476190476,0.005901639344262295,0.015429122468659595,0.01640051791109193
59,Art,41,39,0,0,0,0,1,1,0.013669821240799159,0.0,0.0,0.0,0.0,0.0009643201542912247,0.00043159257660768235
60,Telecommunications,54,2,10,13,0,9,11,9,0.0007010164738871364,0.0012445550715619166,0.0005077926643490488,0.0,0.0009836065573770492,0.010607521697203472,0.003884333189469141
61,Fisheries,128,9,106,5,0,0,1,7,0.0031545741324921135,0.013192283758556316,0.00019530487090348034,0.0,0.0,0.0009643201542912247,0.0030211480362537764
62,Music,9,9,0,0,0,0,0,0,0.0031545741324921135,0.0,0.0,0.0,0.0,0.0,0.0
63,Women's Studies,122,15,16,15,5,32,24,15,0.005257623554153523,0.0019912881144990664,0.000585914612710441,0.004761904761904762,0.0034972677595628415,0.023143683702989394,0.006473888649115235
64,Sociology,306,54,8,32,25,72,17,98,0.01892744479495268,0.0009956440572495332,0.0012499511737822742,0.023809523809523808,0.007868852459016393,0.01639344262295082,0.04229607250755287
65,Geriatrics & Gerontology,203,6,3,14,3,162,4,11,0.002103049421661409,0.000373366521468575,0.000546853638529745,0.002857142857142857,0.017704918032786884,0.003857280617164899,0.004747518342684506
66,Biochemistry & Molecular Biology,2029,36,447,1337,32,80,2,95,0.012618296529968454,0.055631611698817675,0.05222452247959064,0.030476190476190476,0.008743169398907104,0.0019286403085824494,0.041001294777729826
67,Food Science & Technology,401,5,6,369,0,10,1,10,0.0017525411847178409,0.00074673304293715,0.014413499472676849,0.0,0.001092896174863388,0.0009643201542912247,0.0043159257660768235
